Date,Payment,tip included,Total,Net,,,Card Payment,Trans,Date,Time,Value,
"10/6/25, 11:13 pm",Mastercard 7646,€0.00,€225.00,€225.00,,,Received,236171,6/10/2025,23:14:07,218.90,6.10
"10/6/25, 10:10 pm",Visa 7698,€33.60,€201.60,€168.00,,,Received,236159,6/10/2025,22:51:42,168.00,2.70
"10/6/25, 10:11 pm",Visa 0335,€33.60,€201.60,€168.00,,,Received,236159,6/10/2025,22:51:47,168.00,
"10/6/25, 10:12 pm",Mastercard 9567,€0.00,€168.00,€168.00,,,Received,236159,6/10/2025,22:51:51,165.30,
"10/6/25, 10:48 pm",Mastercard 4543,€0.00,"€1,849.51","€1,849.51",,,Received,236157,6/10/2025,22:49:58,"1,849.51",
"10/6/25, 9:51 pm",Mastercard 5555,€0.00,"€1,798.65","€1,798.65",,,Received,236144,6/10/2025,22:03:31,"1,798.65",
"10/6/25, 10:57 pm",Visa 8832,€0.00,"€1,290.00","€1,290.00",,,Received,236163,6/10/2025,23:09:18,"1,290.00",
"10/6/25, 8:58 pm",Mastercard 4423,€0.00,€993.49,€993.49,,,Received,236131,6/10/2025,21:45:41,993.49,
"10/6/25, 8:23 pm",Mastercard 0893,€0.00,€731.48,€731.48,,,Received,236104,6/10/2025,20:30:16,731.48,
"10/6/25, 10:33 pm",Visa 8456,€0.00,€681.30,€681.30,,,Received,236171,6/10/2025,22:57:46,694.01,
"10/6/25, 9:36 pm",Mastercard 6466,€0.00,€524.36,€524.36,,,Received,236164,6/10/2025,22:34:35,681.30,
"10/6/25, 9:23 pm",Amex 3009,€65.37,€501.17,€435.80,,,Received,236136,6/10/2025,21:38:06,524.36,
"10/6/25, 7:37 pm",Visa 4736,€40.00,€470.80,€430.80,,,Received,236147,6/10/2025,22:56:25,435.80,
"10/6/25, 9:48 pm",Amex 4002,€47.36,€442.06,€394.70,,,Received,236083,6/10/2025,20:10:06,430.80,
"10/6/25, 8:35 pm",Amex 2007,€39.70,€370.50,€330.80,,,Received,236115,6/10/2025,22:04:19,394.70,
"10/6/25, 8:57 pm",Visa 2975,€65.56,€393.36,€327.80,,,Received,236120,6/10/2025,20:55:03,330.80,
"10/6/25, 9:11 pm",Visa 5182,€37.91,€353.81,€315.90,,,Received,236116,6/10/2025,22:55:10,327.80,
"10/6/25, 7:49 pm",Visa 3899,€34.12,€318.47,€284.35,,,Received,236117,6/10/2025,21:17:43,315.90,
"10/6/25, 10:00 pm",Mastercard 9978,€41.30,€316.60,€275.30,,,Received,236090,6/10/2025,20:09:31,284.35,
"10/6/25, 10:52 pm",Mastercard 3703,€0.00,€259.80,€259.80,,,Received,236134,6/10/2025,22:56:16,275.30,
