Card Payment,Trans,Date,Time,Value,tips,,Date,Payment,tip included,Total,Net
Received,236665,10/10/2025,23:54:57,195.70,4.30,,"10/10/25, 11:52 pm",Visa 8984,€74.30,€220.00,€145.70
Received,236593,10/10/2025,22:10:53,48.30,,,"10/10/25, 9:53 pm",Visa 8358,€36.70,€85.00,€48.30
Received,236579,10/10/2025,23:24:53,"2,076.64",,,"10/10/25, 10:27 pm",Mastercard 6348,€50.00,€50.01,€0.01
Received,236621,10/10/2025,22:33:32,"1,742.74",,,"10/10/25, 11:24 pm",Mastercard 2475,€0.00,"€2,076.64","€2,076.64"
Received,236637,10/10/2025,23:48:41,"1,238.74",,,"10/10/25, 10:32 pm",Amex 7002,€58.00,"€1,800.74","€1,742.74"
Received,236521,10/10/2025,19:04:57,"1,003.73",,,"10/10/25, 11:35 pm",Amex 3003,€0.00,"€1,238.74","€1,238.74"
Received,236650,10/10/2025,23:06:10,667.91,,,"10/10/25, 7:01 pm",Amex 2001,€0.00,"€1,003.73","€1,003.73"
Received,236580,10/10/2025,21:20:32,613.10,,,"10/10/25, 11:00 pm",Visa 4759,€0.00,€667.91,€667.91
Received,236571,10/10/2025,20:36:09,488.90,,,"10/10/25, 9:09 pm",Mastercard 3550,€122.62,€735.72,€613.10
Received,236601,10/10/2025,22:15:20,480.40,,,"10/10/25, 8:34 pm",Visa 3892,€73.34,€562.24,€488.90
Received,236527,10/10/2025,19:05:09,468.00,,,"10/10/25, 10:12 pm",Mastercard 1347,€72.06,€552.46,€480.40
Received,236605,10/10/2025,22:09:57,451.40,,,"10/10/25, 6:45 pm",Mastercard 4795,€0.00,€468.00,€468.00
Received,236606,10/10/2025,22:53:42,438.10,,,"10/10/25, 9:59 pm",Visa 5413,€54.17,€505.57,€451.40
Received,236541,10/10/2025,19:42:24,426.38,,,"10/10/25, 10:51 pm",Visa 9500,€61.90,€500.00,€438.10
Received,236664,10/10/2025,22:45:46,425.70,,,"10/10/25, 7:41 pm",Visa 0879,€0.00,€426.38,€426.38
Received,236620,10/10/2025,23:10:02,425.00,,,"10/10/25, 10:41 pm",Mastercard 8181,€63.86,€489.56,€425.70
Received,236652,10/10/2025,22:37:38,409.16,,,"10/10/25, 11:03 pm",Visa 6395,€0.00,€425.00,€425.00
Received,236677,10/10/2025,23:11:57,399.40,,,"10/10/25, 10:33 pm",Mastercard 4734,€0.00,€409.16,€409.16
Received,236553,10/10/2025,20:20:17,398.70,,,"10/10/25, 11:08 pm",Mastercard 6728,€47.93,€447.33,€399.40
Received,236642,10/10/2025,23:07:34,396.30,,,"10/10/25, 8:18 pm",Visa 3012,€31.30,€430.00,€398.70
Received,236569,10/10/2025,20:54:31,371.40,,,"10/10/25, 11:05 pm",Mastercard 3434,€20.00,€416.30,€396.30
Received,236603,10/10/2025,22:14:30,366.70,,,"10/10/25, 8:53 pm",Amex 8002,€44.57,€415.97,€371.40
Received,236620,10/10/2025,23:10:03,361.10,,,"10/10/25, 9:30 pm",Visa 3744,€44.00,€410.70,€366.70
Received,236567,10/10/2025,20:53:38,331.65,,,"10/10/25, 11:04 pm",Visa 6172,€63.90,€425.00,€361.10
Received,236578,10/10/2025,20:52:53,328.40,,,"10/10/25, 8:52 pm",Visa 4303,€0.00,€331.65,€331.65
Received,236572,10/10/2025,21:46:02,324.30,,,"10/10/25, 8:51 pm",Amex 9019,€65.68,€394.08,€328.40
Received,236608,10/10/2025,21:44:30,309.80,,,"10/10/25, 9:44 pm",Visa 8594,€38.92,€363.22,€324.30
Received,236536,10/10/2025,19:57:03,307.13,,,"10/10/25, 9:41 pm",Visa 5368,€30.00,€339.80,€309.80
Received,236680,10/10/2025,23:25:29,302.40,,,"10/10/25, 7:56 pm",Mastercard 7020,€0.00,€307.13,€307.13
Received,236559,10/10/2025,20:48:33,292.90,,,"10/10/25, 11:24 pm",Amex 1648,€36.29,€338.69,€302.40
Received,236594,10/10/2025,21:55:23,287.00,,,"10/10/25, 8:46 pm",Maestro 0858,€17.10,€310.00,€292.90
Received,236659,10/10/2025,22:45:24,283.80,,,"10/10/25, 9:52 pm",Amex 1002,€33.00,€320.00,€287.00
Received,236581,10/10/2025,20:40:52,266.40,,,"10/10/25, 10:42 pm",Visa 2646,€42.57,€326.37,€283.80
Received,236518,10/10/2025,19:32:02,265.20,,,"10/10/25, 8:40 pm",Visa 8170,€39.96,€306.36,€266.40
Received,236683,10/10/2025,23:35:31,258.00,,,"10/10/25, 7:19 pm",Mastercard 8411,€53.04,€318.24,€265.20
Received,236611,10/10/2025,21:44:01,251.40,,,"10/10/25, 11:34 pm",Visa 0660,€0.00,€258.00,€258.00
Received,236631,10/10/2025,22:27:16,250.40,,,"10/10/25, 9:42 pm",Visa 1628,€0.00,€251.40,€251.40
Received,236555,10/10/2025,20:09:38,248.40,,,"10/10/25, 10:25 pm",Mastercard 6348,€0.00,€250.40,€250.40
Received,236602,10/10/2025,22:21:23,247.50,,,"10/10/25, 8:09 pm",Visa 9743,€20.00,€268.40,€248.40
Received,236544,10/10/2025,20:18:09,243.90,,,"10/10/25, 10:13 pm",Mastercard 8735,€29.70,€277.20,€247.50
Received,236589,10/10/2025,21:19:37,231.90,,,"10/10/25, 8:10 pm",Mastercard 6891,€29.27,€273.17,€243.90
Received,236622,10/10/2025,22:09:08,231.00,,,"10/10/25, 9:18 pm",Mastercard 5799,€19.00,€250.90,€231.90
Received,236554,10/10/2025,19:55:38,230.50,,,"10/10/25, 10:05 pm",Mastercard 6099,€0.00,€231.00,€231.00
Received,236678,10/10/2025,23:07:44,228.90,,,"10/10/25, 7:52 pm",Mastercard 4559,€34.58,€265.08,€230.50
Received,236584,10/10/2025,20:53:10,227.50,,,"10/10/25, 11:01 pm",Mastercard 4557,€27.47,€256.37,€228.90
Received,236665,10/10/2025,23:53:29,220.00,,,"10/10/25, 8:47 pm",Visa 6005,€27.30,€254.80,€227.50
Received,236548,10/10/2025,19:35:06,215.40,,,"10/10/25, 11:51 pm",Visa 3383,€0.00,€220.00,€220.00
Received,236522,10/10/2025,18:59:30,212.80,,,"10/10/25, 7:33 pm",Discover 8548,€32.31,€247.71,€215.40
Received,236613,10/10/2025,22:09:35,207.50,,,"10/10/25, 6:54 pm",Mastercard 0503,€42.56,€255.36,€212.80
Received,236639,10/10/2025,22:31:56,204.40,,,"10/10/25, 10:00 pm",Visa 1033,€0.00,€207.50,€207.50
Received,236643,10/10/2025,22:56:18,202.90,,,"10/10/25, 10:27 pm",Mastercard 4760,€0.00,€204.40,€204.40
Received,236592,10/10/2025,21:20:19,200.90,,,"10/10/25, 10:54 pm",Visa 6615,€0.00,€202.90,€202.90
Received,236575,10/10/2025,20:27:44,200.00,,,"10/10/25, 9:14 pm",Mastercard 6300,€19.10,€220.00,€200.90
Received,236542,10/10/2025,19:32:44,195.20,,,"10/10/25, 8:27 pm",Visa 4678,€20.00,€220.00,€200.00
Received,236676,10/10/2025,23:06:33,188.40,,,"10/10/25, 7:09 pm",Mastercard 2551,€23.42,€218.62,€195.20
