Card Payment,Trans,Date,Time,Value,Tips,,,Date,Payment,tip included,Total,Net,
Received,237075,12/10/2025,18:11:05,350.00,,,,"10/12/25, 5:58 pm",Mastercard 3330,€0.00,€350.00,€350.00,
Received,237075,12/10/2025,18:11:12,326.80,23.20,,,"10/12/25, 5:58 pm",Visa 5338,€0.00,€350.00,€350.00,
Received,237065,12/10/2025,18:32:54,241.20,,,,"10/12/25, 6:30 pm",Mastercard 7779,€0.00,€265.00,€265.00,€23.80
Received,237051,12/10/2025,14:08:43,1.09,,,,"10/12/25, 7:52 pm",Visa 6023,€9.99,€10.00,€0.01,
Received,237140,12/10/2025,21:34:31,"1,320.30",,,,"10/12/25, 9:32 pm",Visa 8206,€180.00,"€1,500.30","€1,320.30",
Received,237164,12/10/2025,22:13:11,"1,187.66",,,,"10/12/25, 10:10 pm",Amex 5024,€0.00,"€1,187.66","€1,187.66",
Received,237060,12/10/2025,17:05:03,"1,018.46",,,,"10/12/25, 5:03 pm",Visa 0696,€0.00,"€1,018.46","€1,018.46",
Received,237172,12/10/2025,22:56:50,665.35,,,,"10/12/25, 10:54 pm",Mastercard 6715,€0.00,€665.35,€665.35,
Received,237092,12/10/2025,18:57:30,617.40,,,,"10/12/25, 6:52 pm",Visa 9785,€40.00,€657.40,€617.40,
Received,237169,12/10/2025,23:04:17,614.00,,,,"10/12/25, 11:03 pm",Visa 7269,€0.00,€614.00,€614.00,
Received,237150,12/10/2025,21:14:49,451.30,,,,"10/12/25, 9:05 pm",Visa 8737,€48.70,€500.00,€451.30,
Received,237105,12/10/2025,19:44:10,447.19,,,,"10/12/25, 7:43 pm",Visa 5007,€0.00,€447.19,€447.19,
Received,237161,12/10/2025,22:11:38,426.50,,,,"10/12/25, 10:10 pm",Visa 3898,€23.50,€450.00,€426.50,
Received,237071,12/10/2025,17:00:56,413.70,,,,"10/12/25, 4:53 pm",Visa 5267,€0.00,€413.70,€413.70,
Received,237155,12/10/2025,21:31:14,382.80,,,,"10/12/25, 9:30 pm",Mastercard 8811,€57.42,€440.22,€382.80,
Received,237134,12/10/2025,21:10:44,354.80,,,,"10/12/25, 9:09 pm",Visa 3974,€53.22,€408.02,€354.80,
Received,237141,12/10/2025,21:03:09,326.80,,,,"10/12/25, 9:00 pm",Amex 3008,€39.22,€366.02,€326.80,
Received,237085,12/10/2025,18:13:22,323.70,,,,"10/12/25, 5:52 pm",Visa 5055,€36.30,€360.00,€323.70,
Received,237103,12/10/2025,19:26:49,317.90,,,,"10/12/25, 7:25 pm",Visa 3346,€63.58,€381.48,€317.90,
Received,237193,12/10/2025,22:53:05,314.20,,,,"10/12/25, 10:48 pm",Visa 1421,€37.70,€351.90,€314.20,
Received,237053,12/10/2025,15:14:50,312.10,,,,"10/12/25, 3:13 pm",Visa 5308,€27.90,€340.00,€312.10,
Received,237119,12/10/2025,19:44:23,293.90,,,,"10/12/25, 7:40 pm",Visa 3853,€0.00,€293.90,€293.90,
