,POSTED AND RECONCILED TO SAGE ON : ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,MANAGER IN CHARGE :,,,,,,,,,,,,,,,
,,Monday ,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,,,,,
,,6/10/2025,7/10/2025,8/10/2025,9/10/2025,10/10/2025,11/10/2025,12/10/2025,Total,CBE,,Variance ,,,,
,Sales ,,,,,,,,,,,,,,,
,Bar," 2,743.10 "," 2,133.80 "," 5,585.80 "," 5,102.40 "," 4,289.00 "," 7,282.40 "," 3,438.70 "," 30,575.20 "," 24,857.89 ",, 0.00 ,,,,
,Food ," 14,716.60 "," 11,908.40 "," 20,283.80 "," 27,637.00 "," 20,118.71 "," 33,317.90 "," 20,403.70 "," 148,386.11 "," 130,736.66 ",,-0.00 ,,,,
,Wine ," 4,938.00 "," 3,206.00 "," 6,282.50 "," 7,440.00 "," 6,383.00 "," 12,526.00 "," 4,896.50 "," 45,672.00 "," 37,131.71 ",, 0.00 ,,,,
,Service Charge ," 1,030.16 ", 768.45 ," 2,497.64 "," 3,171.72 "," 1,037.14 "," 1,905.90 ", 898.92 ," 11,309.93 "," 9,964.70 "," 1,345.23 ", 0.00 ,,,,
,Room Rental/Other ,,,, 430.50 ,, 32.00 , 16.00 , 478.50 , 389.02 ,,-0.01 ,,,,
,DRINK OTHER, 25.27 , 1.46 , 5.80 , 6.28 , 73.21 , 51.28 , 15.87 , 179.17 , 145.67 ,, 0.00 ,,,,
,Total," 23,453.13 "," 18,018.11 "," 34,655.54 "," 43,787.90 "," 31,901.06 "," 55,115.48 "," 29,669.69 "," 236,600.91 "," 203,225.65 ",,,,,,
,,,,,,,,,,,,,,,,
,Credit Card," 22,816.69 "," 17,850.80 "," 23,735.27 "," 22,405.60 "," 29,633.45 "," 45,922.34 "," 27,791.93 "," 190,156.08 "," 190,156.08 ",, -   ,,,,
,Cash , 740.00 , 650.00 ," 1,030.00 "," 2,130.00 "," 2,950.00 "," 4,695.00 "," 3,550.00 "," 15,745.00 "," 15,745.00 ",, -   ,,,,
,As per lodgement book (Monday & Thursday), 740.00 , 650.00 ," 1,030.00 "," 2,130.00 "," 2,950.00 "," 4,695.00 "," 3,550.00 "," 15,745.00 "," 15,745.00 ",, -   ,,,,
,Debtors ,,,," 12,496.25 ", 662.06 ,, 140.00 ," 13,298.31 "," 13,448.31 ",,-150.00 ,,,,
,Debtors with Taste GV Sold,,,,,,,,,,, -   ,,,,
,GV Redeemed ,100,265.3,150,200,400,2446.2,318.9," 3,880.40 "," 3,880.40 ","€3,230.40",€0.00,,,,
,GV Sold (-),0,0,0,150,0,150,350, 650.00 , 650.00 ,"€3,230.40",€0.00,,,,
,Complimentary ,209.8,149.5,339.9,138,183.71,86.4,41.3," 1,148.61 "," 1,148.61 ",, -   ,,,,
,SOT Pay REDEEMED/Deposit REDEEMED,1000,," 10,299.95 "," 7,750.00 ",,4875,," 23,924.95 "," 23,924.95 ",, -   ,,,,
,Deposits Taken (-),,,,,,,, -   ,,, -   ,,,,
,CREDIT CARD TIPS ,"€1,434.43",€878.79,€916.57,"€1,181.45","€1,973.06","€2,711.20","€2,083.29"," 11,178.79 ","€11,228.79",#ERROR!,-50.00 ,,,,
,ROUNDED BILLS ,,,,,4.3,35.00, 47.00 , 86.30 ,,ENTER AS SERVICE CHARGE, 86.30 ,,,,
,20% discount,28.4,,,,62.6,, 61.52 , 152.52 , 152.52 ,, -   ,,,,
,loyalty ,,,,,,, 150.00 , 150.00 ,,, 150.00 ,,,,
,Refund - OVERCHARGED DAY REDUCE/ REFUND DAY ADD BACK ,,,,,,,, -   ,,, -   ,,,,
,,,,,,,,, -   ,,, -   ,,,,
,Petty Cash ,,,,,,,, -   ,,, -   ,,,,
,ADJUSTMENTS FOR VARIANCES,,,,,,, 46.80 , 46.80 ,,, 46.80 ,,,,
,Total," 23,460.46 "," 18,036.81 "," 34,638.55 "," 43,788.40 "," 31,914.46 "," 55,128.74 "," 29,620.16 "," 236,587.58 ",,," 236,587.58 ",,,,
,,,,,,,,, -   ,,,,,,,
,Variance , 7.33 , 18.70 ,-16.99 , 0.50 , 13.40 , 13.26 ,-49.53 ,-13.33 ,,,-13.33 ,,,,
,, ,,,,,,,,,, -   ,,,,
,CC AS PER INPUT SHEET ,"€21,382.26","€16,972.01","€22,818.70","€21,224.15","€27,660.39","€43,211.14","€25,708.64"," 178,977.29 "," 178,927.29 ",, 50.00 ,,,,
,CC AS PER SALES SUMMARY -CBE ,"€21,382.26","€16,972.01","€22,808.70","€21,224.15","€29,633.45","€43,361.14","€25,708.64","€181,090.35",,," 181,090.35 ",,,,
,VARIANCE,€0.00,€0.00,€10.00,€0.00,"-€1,973.06",-€150.00,€0.00,"-2,113.06 ",,,,,,,
,,,,,,,,,,,,,,,,
,,€7.33,€18.70,-€26.99,€0.50,"€1,986.46",€163.26,-€49.53,"€2,099.73",,,"€2,099.73",,,,
,Adjusted for GV Variances,€7.33,€18.70,-€26.99,€0.50,"€1,986.46",€163.26,-€49.53,"€2,099.73",,," 2,099.73 ",,,,
,,,,,,,,,,,,,,,,
,DEBTORS/DEPOSITS ADJUSTED,ROOM /OTHER 4120,FOOD 4008,DRINK 4009,SC 2102,Total,INVOICE,,,,,,,,,
1,06.10.25 - SOT HCU - #68289 - TaskUs,,"€1,000.00",,,"€1,000.00",#68289,,€881.057,,,,,,,
2,08.10.25 - #66674 - RWAM Carole Yardi,,"€2,000.00",,,"€2,000.00",#68348,,"€1,762.115",,,,,,,
